"","visit_date","visitors"
"204402",2016-01-01,34
"204403",2016-01-02,43
"204404",2016-01-03,30
"204405",2016-01-05,38
"204406",2016-01-06,22
"204407",2016-01-07,18
"204408",2016-01-08,18
"204409",2016-01-09,47
"204410",2016-01-10,47
"204411",2016-01-11,43
"204412",2016-01-12,21
"204413",2016-01-13,11
"204414",2016-01-14,20
"204415",2016-01-15,21
"204416",2016-01-16,50
"204417",2016-01-17,49
"204418",2016-01-18,11
"204419",2016-01-19,20
"204420",2016-01-20,17
"204421",2016-01-21,13
"204422",2016-01-22,22
"204423",2016-01-23,51
"204424",2016-01-24,47
"204425",2016-01-25,30
"204426",2016-01-26,14
"204427",2016-01-27,20
"204428",2016-01-28,22
"204429",2016-01-29,31
"204430",2016-01-30,45
"204431",2016-01-31,56
"204432",2016-02-01,17
"204433",2016-02-02,9
"204434",2016-02-03,16
"204435",2016-02-04,15
"204436",2016-02-05,17
"204437",2016-02-06,42
"204438",2016-02-07,42
"204439",2016-02-08,21
"204440",2016-02-09,24
"204441",2016-02-10,34
"204442",2016-02-11,47
"204443",2016-02-12,23
"204444",2016-02-13,43
"204445",2016-02-14,55
"204446",2016-02-15,31
"204447",2016-02-16,17
"204448",2016-02-17,21
"204449",2016-02-18,22
"204450",2016-02-19,36
"204451",2016-02-20,51
"204452",2016-02-21,32
"204453",2016-02-22,12
"204454",2016-02-23,21
"204455",2016-02-24,12
"204456",2016-02-25,30
"204457",2016-02-26,24
"204458",2016-02-27,48
"204459",2016-02-28,68
"204460",2016-02-29,24
"204461",2016-03-01,23
"204462",2016-03-02,14
"204463",2016-03-03,17
"204464",2016-03-04,30
"204465",2016-03-05,60
"204466",2016-03-06,66
"204467",2016-03-07,20
"204468",2016-03-08,24
"204469",2016-03-09,19
"204470",2016-03-10,23
"204471",2016-03-11,20
"204472",2016-03-12,61
"204473",2016-03-13,60
"204474",2016-03-14,14
"204475",2016-03-15,18
"204476",2016-03-16,18
"204477",2016-03-17,27
"204478",2016-03-18,56
"204479",2016-03-19,44
"204480",2016-03-20,47
"204481",2016-03-21,52
"204482",2016-03-22,22
"204483",2016-03-23,14
"204484",2016-03-24,17
"204485",2016-03-25,57
"204486",2016-03-26,59
"204487",2016-03-27,44
"204488",2016-03-28,19
"204489",2016-03-29,22
